ID,Funct,Pronoun,PPron,I,We,You,SheHe,They,iPron,Article,Verb,AuxVerb,enPast,enPresent,enFuture,Adverb,Preps,Conj,Negate,Quant,Number,Swear,YouPL,PrepEnd,SpecArt,QuanUnit,Interjunction,MultiFun,TenseM,PastM,PresentM,FutureM,ProgM,Social,Family,Friend,Humans,Affect,PosEmo,NegEmo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhibition,Inclusive,Exclusive,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relative,Motion,Space,Time,Work,Achieve,Leisure,Home,Money,Religion,Death,Assent,Nonfl,Filler,Psychology,Love,tPast,tNow,tFuture,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenth,OtherP,WordCount,WordPerSentence,RateDicCover,RateNumeral,RateSixLtrWord,RateFourCharWord,RateLatinWord,NumAtMention,NumEmotion,NumHashTag,NumURLs
res0,0.270485,0.0370874,0.0215534,0.00970874,0.00194175,0.00582524,0.00213592,0.000582524,0.015534,0.0,0.0817476,0.0170874,0.0,0.0,0.0,0.0594175,0.0281553,0.0205825,0.00135922,0.0104854,0.00854369,0.0015534,0.00135922,0.011068,0.00563107,0.0227184,0.0675728,0.0607767,0.0264078,0.0038835,0.00368932,0.00330097,0.015534,0.0469903,0.00543689,0.00330097,0.012233,0.0623301,0.0442718,0.0104854,0.00252427,0.00291262,0.00252427,0.109515,0.0151456,0.00543689,0.0159223,0.0120388,0.0108738,0.0031068,0.0203883,0.0132039,0.0190291,0.00601942,0.00485437,0.00368932,0.0196117,0.00796117,0.00368932,0.00368932,0.00524272,0.0854369,0.0221359,0.038835,0.0275728,0.0198058,0.00951456,0.0174757,0.00349515,0.0023301,0.00427184,0.00194175,0.0733981,0.00815534,0.00524272,0.0116505,0.000194175,0.00213592,0.00116505,0.000776699,0.0114563,0.028932,0.0339806,0.00601942,0.0209709,0.00990291,0.000970874,0.00699029,0.000776699,0.00582524,0.0250485,5150,20.6,0.65767,0.0106796,0.0547573,0.128932,0.128544,0,0,14,1
res1,0.272098,0.0370869,0.0230592,0.0126826,0.00076864,0.00691776,0.00134512,0.00019216,0.0142198,0.0,0.0872406,0.0165257,0.0,0.0,0.0,0.0626441,0.028824,0.0253651,0.00134512,0.00960799,0.0105688,0.00076864,0.00115296,0.0134512,0.0076864,0.0251729,0.0674481,0.0541891,0.0361261,0.00365104,0.00787855,0.00403536,0.0205611,0.0426595,0.00422752,0.00153728,0.0138355,0.0465027,0.0267102,0.010761,0.00172944,0.00230592,0.00230592,0.128747,0.0174865,0.00999231,0.0190238,0.0176787,0.00941583,0.00403536,0.0230592,0.0188317,0.0257494,0.0057648,0.00595696,0.00922367,0.0249808,0.0126826,0.00326672,0.00153728,0.00787855,0.0928132,0.0274789,0.0370869,0.033628,0.027671,0.00941583,0.0257494,0.00230592,0.00307456,0.00211376,0.00345888,0.0451576,0.00307456,0.00518832,0.013259,0.000960799,0.00172944,0.00249808,0.00057648,0.0111453,0.0628363,0.0128747,0.00441968,0.124712,0.00980015,0.00076864,0.00922367,0.00038432,0.00826287,0.0151806,5204,6.65473,0.76864,0.0130669,0.0113374,0.0470792,0.0447733,0,0,20,0
res2,0.267396,0.0448157,0.0328341,0.0241935,0.00126728,0.00541475,0.00138249,0.0,0.0120968,0.0,0.0852535,0.0191244,0.0,0.0,0.0,0.0578341,0.0203917,0.0186636,0.00126728,0.0105991,0.00990783,0.00184332,0.000576037,0.00887097,0.00495392,0.0180876,0.0720046,0.0554147,0.0367512,0.00184332,0.00541475,0.00460829,0.0248848,0.0470046,0.00391705,0.00276498,0.0137097,0.0457373,0.0282258,0.00979263,0.00230415,0.00460829,0.00138249,0.11371,0.0160138,0.00633641,0.0157834,0.0147465,0.00990783,0.00138249,0.018318,0.015553,0.016129,0.00276498,0.00691244,0.00276498,0.0258065,0.0104839,0.00264977,0.00241935,0.0103687,0.0614055,0.0207373,0.0256912,0.0185484,0.0190092,0.00864055,0.0145161,0.00172811,0.00437788,0.00253456,0.00403226,0.0605991,0.00714286,0.00599078,0.0111751,0.000230415,0.00103687,0.00126728,0.000691244,0.00541475,0.0220046,0.0756912,0.00449309,0.0209677,0.0111751,0.00138249,0.0031106,0.00103687,0.00414747,0.0220046,8680,23.7158,0.647465,0.0116359,0.0263825,0.123157,0.0480415,0,0,13,2
res3,0.266507,0.0390885,0.0274605,0.019103,0.00181686,0.00482766,0.00119394,0.000311462,0.0118355,0.0,0.0813434,0.0162479,0.0,0.0,0.0,0.0653032,0.0264743,0.0223214,0.00129776,0.0109531,0.00789037,0.00295889,0.000207641,0.00965532,0.00534676,0.0204527,0.0726744,0.0550249,0.0383617,0.00321844,0.00524294,0.00472384,0.0251765,0.0334821,0.00316653,0.00192068,0.0103301,0.0512355,0.0315615,0.0130295,0.00337417,0.00384136,0.00290698,0.119861,0.01386,0.00508721,0.0160922,0.0107454,0.00830565,0.00192068,0.023723,0.0200374,0.0195702,0.00622924,0.00378945,0.00462002,0.0253841,0.0114203,0.00763081,0.00295889,0.00820183,0.0716881,0.0184801,0.0334821,0.0216466,0.0204527,0.00721553,0.0166113,0.00192068,0.00430855,0.0025436,0.00155731,0.0593335,0.00519103,0.00565822,0.0122508,0.000519103,0.000882475,0.00181686,0.000726744,0.00290698,0.0128738,0.0614618,0.0125623,0.0464597,0.0106935,0.000674834,0.00332226,0.000622924,0.00280316,0.0332226,19264,13.76,0.665127,0.0134967,0.0135486,0.103301,0.0505087,0,0,87,0
res4,0.254825,0.0336583,0.0223457,0.0148041,0.00142454,0.00377084,0.0017318,0.00025139,0.0115639,0.0,0.0767856,0.0150554,0.0,0.0,0.0,0.0488813,0.0264797,0.0240496,0.000865898,0.00988799,0.0105025,0.000502779,0.000391051,0.0109215,0.00715064,0.0232675,0.0624843,0.0615905,0.0318148,0.00374291,0.00527918,0.00483227,0.0179604,0.0321499,0.00237424,0.000837965,0.00818413,0.0363398,0.0243569,0.00667579,0.000726237,0.00201112,0.00114522,0.106003,0.0136588,0.00703891,0.0128209,0.0126812,0.00756962,0.00192732,0.0241334,0.0158934,0.0147761,0.0047764,0.00430156,0.00259769,0.0171224,0.00681545,0.00259769,0.00189939,0.0065082,0.0709198,0.0187425,0.0331834,0.0241613,0.0268428,0.00765342,0.0222899,0.00142454,0.00519539,0.00284908,0.00192732,0.0477361,0.00832379,0.00455295,0.0087707,0.000223457,0.0017318,0.00181559,0.00064244,0.00664786,0.0252786,0.0591883,0.00661993,0.0351108,0.0124298,0.00304461,0.00385464,0.0040781,0.0109494,0.0246083,35801,16.4376,0.637664,0.0148879,0.026787,0.103126,0.0602776,0,0,37,8
res5,0.227985,0.0320596,0.0213262,0.012644,0.00134869,0.00528238,0.00101152,0.000365271,0.0108457,0.0,0.0644844,0.0133464,0.0,0.0,0.0,0.0422029,0.0202866,0.0170835,0.000955325,0.0112672,0.00932846,0.00075864,0.000618151,0.0114639,0.0050014,0.0209328,0.057769,0.0464456,0.0347008,0.0025569,0.00581624,0.00491711,0.0214105,0.0328463,0.00185445,0.00134869,0.00730542,0.0349255,0.0217477,0.00769879,0.00109581,0.00297836,0.000955325,0.0954763,0.0124192,0.0051138,0.0111548,0.00938466,0.00747401,0.00193875,0.0193032,0.0116044,0.0150323,0.00547907,0.00396179,0.00295027,0.0126159,0.0050576,0.00219163,0.00109581,0.00457994,0.0745153,0.0189941,0.0334083,0.0274515,0.0300365,0.00913178,0.0294184,0.00216353,0.00337173,0.00325934,0.00213543,0.043664,0.0050857,0.00368081,0.00972183,0.000168587,0.00165777,0.00168587,0.000842933,0.00483282,0.0254566,0.0489744,0.0118292,0.0576566,0.0123349,0.0038213,0.00525428,0.000899129,0.0134026,0.0340826,35590,11.5365,0.640517,0.0196403,0.0245013,0.103456,0.0704411,0,0,154,8
res6,0.210448,0.0373134,0.0197015,0.00895522,0.00149254,0.00686567,0.00119403,0.000298507,0.0170149,0.0,0.0713433,0.0176119,0.0,0.0,0.0,0.040597,0.021791,0.0197015,0.00238806,0.0131343,0.00716418,0.000895522,0.000597015,0.00746269,0.00358209,0.0167164,0.0408955,0.0507463,0.0152239,0.00208955,0.00447761,0.00358209,0.00507463,0.0513433,0.000895522,0.00208955,0.0185075,0.0459701,0.0319403,0.00477612,0.000895522,0.000895522,0.000895522,0.0955224,0.0140299,0.00985075,0.0202985,0.00985075,0.00776119,0.00238806,0.0170149,0.018806,0.0155224,0.0041791,0.00298507,0.00208955,0.0202985,0.00477612,0.00268657,0.00447761,0.0080597,0.0504478,0.0146269,0.0229851,0.0155224,0.0471642,0.021194,0.0164179,0.00179104,0.00656716,0.00238806,0.000298507,0.0232836,0.00119403,0.0041791,0.0155224,0.000895522,0.00149254,0.00149254,0.000895522,0.0137313,0.0397015,0.0155224,0.040597,0.0325373,0.0113433,0.00208955,0.00686567,0.000298507,0.0155224,0.0104478,3350,10.1515,0.613731,0.00985075,0.0495522,0.0991045,0.103881,0,0,10,10
res7,0.224456,0.0312674,0.0189838,0.0111669,0.00111669,0.00446678,0.00223339,0.0,0.0122836,0.0,0.0608599,0.012842,0.0,0.0,0.0,0.0502513,0.0195422,0.0167504,0.00111669,0.0173088,0.00446678,0.000558347,0.0,0.0100503,0.00558347,0.0156337,0.0575098,0.0379676,0.0290341,0.00167504,0.00446678,0.00446678,0.0184255,0.038526,0.00558347,0.000558347,0.0094919,0.0474595,0.0379676,0.00558347,0.00335008,0.00223339,0.00223339,0.091569,0.00558347,0.00725851,0.00893356,0.00670017,0.0100503,0.00279174,0.0206588,0.0139587,0.0173088,0.00279174,0.00390843,0.00167504,0.0161921,0.0094919,0.00223339,0.00279174,0.00390843,0.0753769,0.0195422,0.0452261,0.0184255,0.0201005,0.00670017,0.0268007,0.00167504,0.0111669,0.000558347,0.00279174,0.051368,0.0122836,0.00502513,0.00893356,0.00167504,0.00223339,0.0,0.000558347,0.00614182,0.0262423,0.0508096,0.0106086,0.0435511,0.0173088,0.00335008,0.00670017,0.000558347,0.00837521,0.0301508,1791,12.7929,0.630932,0.0122836,0.0195422,0.103853,0.0424344,0,0,8,1
res8,0.239053,0.0285436,0.0214077,0.0129744,0.00194616,0.00454103,0.0,0.000324359,0.00713591,0.0,0.0791437,0.0158936,0.0,0.0,0.0,0.0509244,0.0272462,0.0191372,0.000973078,0.0110282,0.00713591,0.000973078,0.0016218,0.0107039,0.00746027,0.0178398,0.054168,0.0463834,0.0350308,0.000648719,0.00518975,0.00843334,0.020759,0.0483295,0.00194616,0.00291923,0.0139475,0.0454103,0.0265975,0.0113526,0.00129744,0.00518975,0.00194616,0.0989296,0.0152449,0.00518975,0.01265,0.0103795,0.00908206,0.00227052,0.0194616,0.0120013,0.0152449,0.00259488,0.00648719,0.00291923,0.0142718,0.00616283,0.00421667,0.0016218,0.00324359,0.0664937,0.0181641,0.0350308,0.0194616,0.0295167,0.00810898,0.0191372,0.000648719,0.0016218,0.00259488,0.00194616,0.0457347,0.00810898,0.00356795,0.0103795,0.00129744,0.000648719,0.00227052,0.000648719,0.00551411,0.0236782,0.0619526,0.0110282,0.0191372,0.0184885,0.00194616,0.00518975,0.000973078,0.01265,0.0265975,3083,18.3512,0.636717,0.0168667,0.0217321,0.116769,0.0411936,0,0,11,0
res9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
