ID,Funct,Pronoun,PPron,I,We,You,SheHe,They,iPron,Article,Verb,AuxVerb,enPast,enPresent,enFuture,Adverb,Preps,Conj,Negate,Quant,Number,Swear,YouPL,PrepEnd,SpecArt,QuanUnit,Interjunction,MultiFun,TenseM,PastM,PresentM,FutureM,ProgM,Social,Family,Friend,Humans,Affect,PosEmo,NegEmo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhibition,Inclusive,Exclusive,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relative,Motion,Space,Time,Work,Achieve,Leisure,Home,Money,Religion,Death,Assent,Nonfl,Filler,Psychology,Love,tPast,tNow,tFuture,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenth,OtherP,WordCount,WordPerSentence,RateDicCover,RateNumeral,RateSixLtrWord,RateFourCharWord,RateLatinWord,NumAtMention,NumEmotion,NumHashTag,NumURLs
123茄子酱,0.279102,0.0382689,0.02224,0.010018,0.00200361,0.00601082,0.00220397,0.000601082,0.0160289,0.0,0.0841515,0.0176317,0.0,0.0,0.0,0.0615107,0.0290523,0.0212382,0.00140252,0.0108195,0.00881587,0.00160289,0.00140252,0.0114206,0.00581046,0.0234422,0.0695251,0.0627129,0.0270487,0.00400721,0.00380685,0.00340613,0.0158285,0.0480866,0.00540974,0.00340613,0.0126227,0.0647165,0.0460829,0.0108195,0.00260469,0.00300541,0.00260469,0.112803,0.0156281,0.0056101,0.0164296,0.0124224,0.0112202,0.00320577,0.0210379,0.0136245,0.019435,0.00621118,0.00480866,0.00380685,0.0202364,0.00821479,0.00380685,0.00380685,0.00540974,0.0881587,0.0228411,0.0400721,0.0284512,0.0202364,0.00981767,0.0180325,0.00360649,0.00240433,0.00440793,0.00200361,0.0759367,0.00841515,0.00540974,0.012222,0.000200361,0.00220397,0.00120216,0.000801443,0.0118213,0.0298537,0.0350631,0.00621118,0.021639,0.0102184,0.0010018,0.00721298,0.000801443,0.00601082,0.0258465,4991,19.964,0.678221,0.0110198,0.0567021,0.131837,0.131837,0,0,14,1
NeedDoc,0.273745,0.0372587,0.023166,0.0127413,0.000772201,0.00694981,0.00135135,0.00019305,0.0142857,0.0,0.0876448,0.0166023,0.0,0.0,0.0,0.0629344,0.0291506,0.0254826,0.00135135,0.00965251,0.0108108,0.000772201,0.0011583,0.0137066,0.00772201,0.0252896,0.0677606,0.0544402,0.0364865,0.00366795,0.00810811,0.00405405,0.0206564,0.0428571,0.0042471,0.0015444,0.0138996,0.046332,0.0264479,0.0108108,0.00173745,0.0023166,0.0023166,0.129151,0.0175676,0.0100386,0.019112,0.0177606,0.00945946,0.00405405,0.022973,0.0189189,0.0258687,0.00579151,0.00598456,0.00926641,0.0250965,0.0127413,0.00328185,0.0015444,0.00791506,0.0932432,0.0274131,0.0370656,0.0337838,0.0277992,0.00945946,0.0258687,0.0023166,0.0030888,0.00212355,0.0034749,0.0449807,0.0030888,0.00521236,0.0133205,0.000965251,0.00173745,0.00250965,0.000579151,0.0111969,0.0631274,0.0129344,0.00444015,0.12529,0.00984556,0.000772201,0.00926641,0.0003861,0.00830116,0.015251,5180,6.62404,0.772201,0.0131274,0.011583,0.0472973,0.0449807,0,0,20,0
zk丶fzzm,0.273167,0.0457439,0.0336006,0.0247583,0.00129686,0.00554115,0.00141476,0.0,0.0122613,0.0,0.0871257,0.0195709,0.0,0.0,0.0,0.0591842,0.0208677,0.0190993,0.00129686,0.0107286,0.0101391,0.00188635,0.000589484,0.00907805,0.00506956,0.0185098,0.0734497,0.0567083,0.0374912,0.00188635,0.00554115,0.00471587,0.0253478,0.047984,0.00400849,0.00282952,0.0139118,0.0464513,0.028531,0.0100212,0.00235793,0.00471587,0.00141476,0.116246,0.0163876,0.00648432,0.0161519,0.0150908,0.0101391,0.00141476,0.0187456,0.0159161,0.0163876,0.00282952,0.0070738,0.00282952,0.0261731,0.0106107,0.00271162,0.00247583,0.0104928,0.062839,0.0212214,0.026291,0.0189814,0.019453,0.00884225,0.014855,0.00176845,0.00448008,0.00259373,0.00400849,0.0614242,0.0073096,0.00613063,0.0112002,0.000235793,0.00106107,0.00129686,0.00070738,0.00542325,0.0225183,0.0771045,0.00459797,0.0207498,0.011436,0.00141476,0.00318321,0.00106107,0.00424428,0.0224004,8482,23.6267,0.65975,0.0119076,0.0277057,0.123909,0.049045,0,0,13,2
八月_十三,0.257161,0.0339743,0.0225555,0.014943,0.00143792,0.00380625,0.00174805,0.00025375,0.0116725,0.0,0.0775065,0.0151968,0.0,0.0,0.0,0.0493121,0.0267001,0.0242754,0.000874027,0.0100372,0.0106293,0.0005075,0.000394722,0.011024,0.00721777,0.0235423,0.0629864,0.0621687,0.0320853,0.00374986,0.00532875,0.00487764,0.018129,0.03248,0.00239653,0.000845833,0.00826097,0.036681,0.0245855,0.00673847,0.000733055,0.00203,0.00115597,0.106998,0.0137871,0.007105,0.0129412,0.0128003,0.00764069,0.00194542,0.02436,0.0160426,0.0149149,0.00482125,0.00434194,0.00262208,0.017255,0.00687944,0.00262208,0.00191722,0.00654111,0.0715575,0.0189185,0.0334668,0.0243882,0.0270948,0.00772527,0.0224992,0.00143792,0.00524416,0.00290403,0.00191722,0.0480151,0.00837375,0.00459569,0.00885305,0.000225555,0.00174805,0.00183264,0.000648472,0.00671027,0.025516,0.0595184,0.00668208,0.0352994,0.012321,0.00307319,0.00389083,0.00408819,0.0110804,0.0247829,35468,16.3824,0.642777,0.0150276,0.0272076,0.103051,0.060759,0,0,37,8
北野秋哥,0.24177,0.0428669,0.0226337,0.0102881,0.00171468,0.00788752,0.00137174,0.000342936,0.0195473,0.0,0.0816187,0.0202332,0.0,0.0,0.0,0.0466392,0.0246914,0.0226337,0.00274348,0.0154321,0.00823045,0.00102881,0.000685871,0.00891632,0.00411523,0.0188615,0.0469822,0.0579561,0.0174897,0.00240055,0.00514403,0.00411523,0.0058299,0.0589849,0.00102881,0.00240055,0.021262,0.0528121,0.0366941,0.00548697,0.00102881,0.00102881,0.00102881,0.110082,0.015775,0.0113169,0.0233196,0.0116598,0.00891632,0.00274348,0.0198903,0.0216049,0.0178326,0.0048011,0.00342936,0.00240055,0.0233196,0.00548697,0.00308642,0.00514403,0.00925926,0.0579561,0.0168038,0.026406,0.0178326,0.0538409,0.0243484,0.0185185,0.00205761,0.00754458,0.00274348,0.000342936,0.026749,0.00137174,0.0048011,0.0178326,0.00102881,0.00171468,0.00171468,0.00102881,0.0154321,0.0456104,0.0178326,0.0466392,0.0356653,0.0126886,0.00240055,0.00788752,0.000342936,0.0178326,0.0113169,2916,9.02786,0.701303,0.0113169,0.0576132,0.109739,0.119342,0,0,10,10
翠雨彡,0.314076,0.0490196,0.032563,0.0196078,0.00280112,0.00770308,0.00315126,0.0,0.017507,0.0,0.0910364,0.0196078,0.0,0.0,0.0,0.0689776,0.0290616,0.0308123,0.00105042,0.0122549,0.00945378,0.00105042,0.0,0.0140056,0.00665266,0.0248599,0.0840336,0.0623249,0.0420168,0.0035014,0.00665266,0.00805322,0.0238095,0.0483193,0.00595238,0.00105042,0.0101541,0.0532213,0.0304622,0.0119048,0.00315126,0.00245098,0.0035014,0.142157,0.0157563,0.00560224,0.0185574,0.0157563,0.0133053,0.00105042,0.0346639,0.0234594,0.0185574,0.00840336,0.0035014,0.00140056,0.0213585,0.00770308,0.0035014,0.00280112,0.00770308,0.0959384,0.0318627,0.037465,0.0357143,0.0248599,0.0112045,0.0336134,0.00210084,0.0119048,0.0035014,0.0017507,0.0514706,0.00665266,0.00910364,0.0168067,0.00035014,0.00140056,0.00035014,0.00105042,0.0087535,0.030112,0.0171569,0.00805322,0.0658263,0.019958,0.0,0.00560224,0.00070028,0.0119048,0.0234594,2856,9.71429,0.754202,0.0182073,0.00945378,0.0581232,0.0448179,0,0,13,0
第十一驱逐队吹雪是耀月厨,0.25467,0.035046,0.0236952,0.0161836,0.00105718,0.00449899,0.00104129,0.000310001,0.0116052,0.0,0.0732477,0.016136,0.0,0.0,0.0,0.0536858,0.0211039,0.0226539,0.000794875,0.0101982,0.00995183,0.00129565,0.000747182,0.00899003,0.00551643,0.0190293,0.071181,0.053042,0.0346247,0.00241642,0.00657361,0.00385514,0.0217239,0.0311591,0.00275027,0.00095385,0.00831439,0.035984,0.0205952,0.00846542,0.00131949,0.00333847,0.00110488,0.111322,0.0110885,0.00691541,0.0162154,0.0141488,0.00741618,0.00209847,0.0214378,0.0187272,0.0149277,0.00375976,0.0040936,0.00336232,0.0179403,0.00717772,0.00282181,0.00242437,0.00597746,0.0633118,0.015826,0.0278286,0.023258,0.0170898,0.00599335,0.0121536,0.00135924,0.00348155,0.00236078,0.00236873,0.0469691,0.0141965,0.00582643,0.00943516,0.000620002,0.0012877,0.00294104,0.000898208,0.0031636,0.0139262,0.0672305,0.0041413,0.0376771,0.0120503,0.00434002,0.00195539,0.000731285,0.00635105,0.0261911,125806,17.5315,0.595671,0.018147,0.0328601,0.131925,0.0588605,0,0,244,18
非科班根号五,0.263441,0.0376344,0.0268817,0.0215054,0.00537634,0.0,0.0,0.0,0.0107527,0.0,0.0645161,0.0107527,0.0,0.0,0.0,0.0645161,0.0322581,0.0215054,0.00537634,0.016129,0.0215054,0.00537634,0.0,0.00537634,0.0215054,0.0268817,0.0483871,0.0430108,0.0215054,0.00537634,0.0,0.0,0.016129,0.0430108,0.00537634,0.0,0.0107527,0.0215054,0.0107527,0.00537634,0.0,0.0,0.0,0.112903,0.016129,0.0107527,0.00537634,0.00537634,0.016129,0.00537634,0.016129,0.0215054,0.016129,0.0107527,0.0,0.0,0.0268817,0.0,0.0215054,0.0,0.00537634,0.129032,0.0376344,0.0483871,0.0483871,0.016129,0.00537634,0.0698925,0.00537634,0.0,0.00537634,0.0,0.0268817,0.0,0.0107527,0.0322581,0.0,0.0,0.0,0.0,0.0107527,0.0215054,0.0376344,0.0,0.0645161,0.0,0.0,0.0107527,0.0,0.0107527,0.0215054,186,12.4,0.72043,0.016129,0.0107527,0.0752688,0.0376344,0,0,1,0
葛小坤儿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
好疼啊好疼啊好疼啊,0.243145,0.0290717,0.0218038,0.0132144,0.00198216,0.00462504,0.0,0.00033036,0.00726792,0.0,0.0802775,0.0161876,0.0,0.0,0.0,0.0518665,0.0277502,0.0194912,0.00099108,0.0112322,0.00726792,0.00099108,0.0016518,0.0109019,0.00759828,0.0181698,0.0548398,0.0472415,0.0356789,0.00066072,0.00528576,0.00858936,0.021143,0.0488933,0.00198216,0.00297324,0.0142055,0.0459201,0.0267592,0.0115626,0.00132144,0.00528576,0.00198216,0.10076,0.0155269,0.00528576,0.012884,0.0105715,0.00925008,0.00231252,0.0198216,0.0122233,0.0151966,0.00264288,0.00627684,0.00297324,0.0145358,0.00627684,0.00429468,0.0016518,0.0033036,0.0673935,0.0185002,0.0353485,0.0198216,0.0300628,0.008259,0.0194912,0.00066072,0.0016518,0.00264288,0.00198216,0.0462504,0.008259,0.00363396,0.0105715,0.00132144,0.00066072,0.00231252,0.00066072,0.00561612,0.0241163,0.0630988,0.0112322,0.0194912,0.0185002,0.00198216,0.00528576,0.00099108,0.012884,0.0267592,3027,18.1257,0.646184,0.0171787,0.0221341,0.117939,0.0419557,0,0,11,0
刘天Mastic,0.229967,0.0323825,0.0215221,0.0127602,0.00136108,0.00533091,0.00102081,0.000368627,0.0109737,0.0,0.0649918,0.0134691,0.0,0.0,0.0,0.0425622,0.020473,0.0172404,0.000964101,0.0113991,0.00938581,0.00076561,0.00062383,0.0115409,0.00504735,0.0210685,0.0582147,0.0468723,0.0350196,0.00258039,0.00586968,0.00496229,0.0216072,0.0331481,0.00187149,0.00136108,0.00737254,0.0351897,0.0218908,0.00776952,0.00110588,0.00300573,0.000964101,0.0963251,0.0125617,0.00516078,0.0112573,0.00947088,0.00754268,0.00195656,0.0194522,0.0116826,0.0151421,0.00550105,0.00399819,0.00297737,0.0127318,0.00510407,0.00221176,0.00110588,0.00462202,0.0751432,0.0190835,0.0337435,0.0277037,0.0303125,0.00921568,0.0296603,0.00218341,0.00343107,0.00328929,0.00215505,0.0439517,0.00507571,0.00371463,0.00978279,0.000170136,0.001673,0.00170136,0.000850678,0.00470708,0.0256905,0.0493393,0.0119378,0.0576192,0.0124483,0.00385641,0.00530256,0.00090739,0.0135258,0.0343957,35266,11.5286,0.645381,0.0198208,0.0248965,0.103953,0.0710032,0,0,154,8
洛圣都流浪汉,0.290591,0.0413205,0.0222322,0.0116775,0.00314395,0.00381765,0.00134741,0.000224568,0.0193128,0.0,0.0855603,0.0157197,0.0,0.0,0.0,0.0651246,0.0262744,0.0244779,0.000449135,0.0141478,0.0128004,0.00112284,0.00202111,0.0128004,0.00875814,0.0294184,0.0649001,0.0559174,0.0386256,0.00404222,0.00516506,0.00741073,0.0220076,0.0433416,0.00202111,0.00179654,0.011453,0.044689,0.024927,0.0134741,0.00179654,0.00651246,0.000898271,0.127554,0.0175163,0.00718617,0.0143723,0.0143723,0.0130249,0.00291938,0.0229059,0.0163934,0.0282955,0.00920728,0.00898271,0.00426679,0.0186391,0.00943184,0.00291938,0.00202111,0.00404222,0.0869077,0.0172917,0.0424433,0.033236,0.0276218,0.011453,0.0256007,0.000673703,0.00449135,0.00404222,0.00404222,0.0482821,0.00561419,0.00561419,0.0116775,0.0,0.00134741,0.00202111,0.000449135,0.00583876,0.023355,0.0298675,0.0076353,0.0640018,0.0345834,0.000449135,0.00538962,0.00224568,0.0141478,0.0172917,4453,8.906,0.727375,0.0112284,0.016618,0.0770267,0.0520997,0,0,2,1
麦杆儿Cifer,0.303951,0.0461258,0.0281433,0.016045,0.00210967,0.00622856,0.00221014,0.000645819,0.0182551,0.0,0.0862527,0.0186713,0.0,0.0,0.0,0.0674378,0.0264068,0.0274975,0.00117683,0.0125145,0.0121414,0.00167913,0.00101896,0.0119548,0.00681697,0.0253448,0.0741543,0.0577075,0.0421504,0.00320039,0.00595588,0.00680262,0.0261915,0.0425092,0.00298512,0.00113377,0.0106488,0.0445328,0.0255457,0.0120553,0.00126293,0.00409018,0.00200921,0.128819,0.0148682,0.00840999,0.0165186,0.0153274,0.0107636,0.0019231,0.0245985,0.0193172,0.0182695,0.00528136,0.00597023,0.00353048,0.0172649,0.00797945,0.00394667,0.00229624,0.00456379,0.0765941,0.0188436,0.0344006,0.0288466,0.0234504,0.00807991,0.0240819,0.00219578,0.00248281,0.00243976,0.00261198,0.0545502,0.0101609,0.00675957,0.0142798,0.00037314,0.00196616,0.00182264,0.000803685,0.00714706,0.032908,0.0317025,0.0125289,0.0572339,0.0154996,0.00245411,0.00558274,0.00351612,0.00723317,0.0262346,69679,10.8197,0.714247,0.0135622,0.016863,0.0819616,0.0520817,0,0,128,19
米缸里的爽粉,0.298462,0.0446506,0.0268158,0.0172001,0.0015235,0.00503969,0.00167254,0.000320155,0.0182378,0.0,0.0863923,0.0176141,0.0,0.0,0.0,0.0650744,0.0262472,0.0261258,0.00141862,0.0133417,0.0112496,0.0014407,0.00118126,0.0117022,0.00710966,0.0255959,0.0720626,0.058456,0.0399146,0.00310772,0.00609399,0.00607191,0.0246299,0.0387002,0.00259988,0.00124198,0.0105099,0.045037,0.0245747,0.0126296,0.00196509,0.00416754,0.00186021,0.128051,0.0152957,0.00909131,0.015936,0.0160409,0.0100739,0.00242325,0.0234983,0.019524,0.0187291,0.00582352,0.00617127,0.00349963,0.0191044,0.00837372,0.0038805,0.00209757,0.00539848,0.0792771,0.0194301,0.0373533,0.0285214,0.0226096,0.00924035,0.0207715,0.00262196,0.0030194,0.00297524,0.00320707,0.0528974,0.00948874,0.00623199,0.0136452,0.000436074,0.00178845,0.00208653,0.00068999,0.00704342,0.0289023,0.0321811,0.00856692,0.0638103,0.0111226,0.0010819,0.00597255,0.00510041,0.0129884,0.0223502,181162,11.0438,0.708476,0.0152295,0.0151853,0.0686292,0.0488844,0,0,432,17
某川辣的_鸡丝凉葩,0.307899,0.0435171,0.0269747,0.0178625,0.00140515,0.00559932,0.00146902,0.000191612,0.0168831,0.0,0.0879923,0.0197147,0.0,0.0,0.0,0.0701937,0.0286566,0.0260592,0.00119225,0.0127528,0.00996381,0.00144773,0.000532255,0.0115606,0.00711092,0.0242708,0.0810517,0.0591228,0.0417288,0.0034703,0.00596125,0.00734511,0.0249095,0.0390036,0.00364062,0.00136257,0.0110922,0.0437726,0.0247818,0.0108793,0.00163934,0.00421546,0.00193741,0.135469,0.0149031,0.00821801,0.0187779,0.0153928,0.0112625,0.00261869,0.0260166,0.0195231,0.016798,0.00406643,0.00504577,0.00398126,0.0185863,0.00832446,0.00312966,0.00255482,0.00530126,0.0794763,0.0191399,0.0365765,0.0289972,0.0202895,0.00872898,0.0183734,0.00189483,0.00404514,0.00278901,0.00300192,0.0520758,0.0111348,0.00649351,0.0123057,0.000617415,0.00155418,0.00200128,0.000830317,0.00664254,0.0359378,0.0410262,0.00470513,0.0490526,0.0244198,0.0023845,0.00266127,0.000745156,0.00489674,0.0201192,46970,11.7867,0.702363,0.0190547,0.0220992,0.0816266,0.0487545,0,0,86,6
